Yıl,İl,Toplam,Erkek,Kadın
2022,Şanlıurfa,2170110,1093998,1076112
2022,Şırnak,557605,291045,266560
2022,Tekirdağ,1142451,583014,559437
2022,Tokat,596454,296442,300012
2022,Trabzon,818023,406061,411962
2022,Tunceli,84366,44541,39825
2022,Uşak,375454,186693,188761
2022,Van,1128749,575453,553296
2022,Yalova,296333,147904,148429
2022,Yozgat,418442,209814,208628
2022,Zonguldak,588510,291854,296656
2021,Adana,2263373,1130862,1132511
2021,Adıyaman,632148,318619,313529
2021,Afyonkarahisar,744179,371421,372758
2021,Ağrı,524644,271889,252755
2021,Aksaray,429069,214841,214228
2021,Amasya,335331,167033,168298
2021,Ankara,5747325,2843409,2903916
2021,Antalya,2619832,1314755,1305077
2021,Ardahan,94932,49168,45764
2021,Artvin,169543,85952,83591
2021,Aydın,1134031,563037,570994
2021,Balıkesir,1250610,625527,625083
2021,Bartın,201711,99960,101751
2021,Batman,626319,315752,310567
2021,Bayburt,85042,43402,41640
2021,Bilecik,228334,118903,109431
2021,Bingöl,283112,143049,140063
2021,Bitlis,352277,181813,170464
2021,Bolu,320014,158580,161434
2021,Burdur,273716,137372,136344
2021,Bursa,3147818,1573362,1574456
2021,Çanakkale,557276,280334,276942
2021,Çankırı,196515,99278,97237
2021,Çorum,526282,261366,264916
2021,Denizli,1051056,523498,527558
2021,Diyarbakır,1791373,904188,887185
2021,Düzce,400976,200612,200364
2021,Edirne,412115,207863,204252
2021,Elazığ,588088,291380,296708
2021,Erzincan,237351,120367,116984
2021,Erzurum,756893,377261,379632
2021,Eskişehir,898369,447761,450608
2021,Gaziantep,2130432,1075409,1055023
2021,Giresun,450154,224380,225774
2021,Gümüşhane,150119,75481,74638
2021,Hakkari,278218,146613,131605
2021,Hatay,1670712,840197,830515
2021,Iğdır,203159,104946,98213
2021,Isparta,445678,220699,224979
2021,İstanbul,15840900,7933686,7907214
2021,İzmir,4425789,2199287,2226502
2021,Kahramanmaraş,1171298,594776,576522
2021,Karabük,249287,124524,124763
2021,Karaman,258838,129551,129287
2021,Kars,281077,144396,136681
2021,Kastamonu,375592,186116,189476
2021,Kayseri,1434357,719061,715296
2021,Kırıkkale,275968,137654,138314
2021,Kırklareli,366363,186444,179919
2021,Kırşehir,242944,120301,122643
2021,Kilis,145826,73803,72023
2021,Kocaeli,2033441,1027775,1005666
2021,Konya,2277017,1131923,1145094
2021,Kütahya,578640,284739,293901
2021,Malatya,808692,403607,405085
2021,Manisa,1456626,731208,725418
2021,Mardin,862757,432288,430469
2021,Mersin,1891145,944392,946753
2021,Muğla,1021141,517961,503180
2021,Muş,405228,206375,198853
2021,Nevşehir,308003,152189,155814
2021,Niğde,363725,182216,181509
2021,Ordu,760872,379700,381172
2021,Osmaniye,553012,278847,274165
2021,Rize,345662,173430,172232
2021,Sakarya,1060876,531366,529510
2021,Samsun,1371274,678072,693202
